Date,Open,High,Low,Close,Adj Close,Volume
2000-06-22,7.558588,7.562500,6.953125,7.093750,5.066283,12482400
2000-06-23,7.226563,7.593750,7.062500,7.328125,5.233672,10220800
2000-06-26,7.316400,7.437500,6.562500,6.718750,4.798462,9172000
2000-06-27,6.804688,6.976563,6.562500,6.593750,4.709188,10784000
2000-06-28,6.742188,7.000000,6.687500,6.867188,4.904473,9665600
2000-06-29,6.734375,7.234375,6.734375,7.125000,5.088602,6806400
2000-06-30,7.085938,7.156250,6.500000,6.742188,4.815200,9589600
2000-07-03,6.703125,6.875000,6.562500,6.773438,4.837520,2783200
2000-07-05,6.703125,6.703125,6.000000,6.007813,4.290718,11044000
2000-07-06,6.132813,6.507813,5.937500,6.437500,4.597595,14459200
2000-07-07,6.484375,6.539063,6.195313,6.351563,4.536221,16140800
2000-07-10,6.308588,6.500000,6.062500,6.304688,4.502743,7588800
2000-07-11,6.312500,6.437500,6.195313,6.250000,4.463685,6932000
2000-07-12,6.273438,6.335938,6.187500,6.218750,4.441367,10446400
2000-07-13,6.390625,6.500000,6.164063,6.250000,4.463685,11045600
2000-07-14,6.500000,6.687500,6.257813,6.546875,4.675711,8127200
2000-07-17,6.789063,6.812500,6.500000,6.593750,4.709188,6418400
2000-07-18,6.656250,6.656250,6.281250,6.343750,4.530641,6197600
2000-07-19,6.382813,6.398438,5.781250,5.906250,4.218183,8640800
2000-07-20,6.476563,7.687500,6.460938,7.546875,5.389900,25139200
2000-07-21,7.367188,8.062500,7.187500,7.562500,5.401060,11597600
2000-07-24,7.484375,7.765625,7.234375,7.500000,5.356421,5332800
2000-07-25,7.515625,7.601563,7.437500,7.500000,5.356421,6013600
2000-07-26,7.417963,8.125000,7.406250,7.960938,5.685619,6459200
2000-07-27,7.156250,7.179688,6.140625,6.281250,4.486004,30843200
2000-07-28,6.187500,6.382813,6.062500,6.132813,4.379991,11786400
2000-07-31,6.234375,6.421875,5.859375,6.406250,4.575278,15932000
2000-08-01,6.265625,6.484375,6.171875,6.210938,4.435788,10269600
2000-08-02,6.226563,6.742188,6.031250,6.578125,4.698028,11245600
2000-08-03,6.343750,6.984375,6.273438,6.976563,4.982589,9987200
2000-08-04,6.972650,7.203125,6.859375,6.882813,4.915634,13859200
2000-08-07,6.882813,6.882813,6.656250,6.734375,4.809620,6441600
2000-08-08,6.726563,6.781250,6.578125,6.679688,4.770564,4220000
2000-08-09,6.789063,6.804688,6.429688,6.500000,4.642233,5062400
2000-08-10,6.460938,6.531250,6.101563,6.171875,4.407889,11378400
2000-08-11,6.097650,6.187500,5.984375,6.046875,4.318614,7015200
2000-08-14,6.007813,6.085938,5.617188,5.656250,4.039635,12604800
2000-08-15,5.648438,5.648438,5.343750,5.492188,3.922464,20768000
2000-08-16,5.468750,6.140625,5.406250,6.039063,4.313036,17010400
2000-08-17,6.062500,6.062500,5.789063,5.867188,4.190285,12026400
2000-08-18,5.960938,6.349600,5.921875,6.304688,4.502743,9806400
2000-08-21,6.753900,6.781250,6.343750,6.382813,4.558538,9449600
2000-08-22,6.617188,6.679688,6.468750,6.484375,4.631073,5759200
2000-08-23,6.398438,6.414063,6.015625,6.101563,4.357673,9794400
2000-08-24,6.179688,6.265625,6.101563,6.218750,4.441367,6847200
2000-08-25,6.226563,6.250000,6.015625,6.156250,4.396729,4956000
2000-08-28,6.156250,6.218750,6.000000,6.187500,4.419050,7023200
2000-08-29,6.171875,6.171875,5.953125,6.046875,4.318614,6199200
2000-08-30,6.000000,6.078125,5.945313,6.054688,4.324195,6048800
2000-08-31,6.125000,6.203125,6.078125,6.101563,4.357673,7705600
2000-09-01,6.218750,6.531250,6.171875,6.515625,4.653392,12787200
2000-09-05,6.550775,6.617188,6.125000,6.218750,4.441367,9332800
2000-09-06,6.218750,6.242188,5.992188,6.007813,4.290718,9730400
2000-09-07,6.054688,6.156250,6.023438,6.140625,4.385570,12140800
2000-09-08,6.179688,6.179688,5.718750,6.000000,4.285138,20242400
2000-09-11,5.976563,6.093750,5.750000,5.921875,4.229342,6981600
2000-09-12,5.945313,5.968750,5.726563,5.812500,4.151227,11321600
2000-09-13,5.789063,5.968750,5.773438,5.937500,4.240500,17892800
2000-09-14,5.984375,6.070313,5.765625,5.890625,4.207026,13702400
2000-09-15,5.835938,5.945313,5.703125,5.718750,4.084272,11328800
2000-09-18,5.773438,5.773438,5.375000,5.445313,3.888986,10626400
2000-09-19,5.500000,5.796875,5.445313,5.523438,3.944782,17999200
2000-09-20,5.640625,5.656250,5.109375,5.234375,3.738336,19901600
2000-09-21,5.359375,5.359375,5.109375,5.171875,3.693700,10128800
2000-09-22,4.996088,5.390625,4.843750,5.382813,3.844349,19534400
2000-09-25,5.562500,5.789063,5.375000,5.382813,3.844349,11408000
2000-09-26,5.625000,5.703125,5.265625,5.328125,3.805292,7560800
2000-09-27,5.453125,5.617188,5.296875,5.460938,3.900145,6582400
2000-09-28,5.437500,5.960938,5.359375,5.937500,4.240500,10429600
2000-09-29,5.796875,5.812500,5.468750,5.500000,3.928043,11530400
2000-10-02,5.625000,5.765625,5.125000,5.125000,3.660222,18212800
2000-10-03,5.250000,5.390625,5.187500,5.218750,3.727177,16746400
2000-10-04,5.335938,5.500000,5.218750,5.382813,3.844349,8589600
2000-10-05,5.328125,5.937500,5.312500,5.492188,3.922464,16811200
2000-10-06,5.554688,5.687500,5.500000,5.554688,3.967100,17651200
2000-10-09,5.656250,5.718750,5.500000,5.625000,4.017318,6812000
2000-10-10,5.554688,5.750000,5.492188,5.625000,4.017318,8013600
2000-10-11,5.453125,5.773438,5.312500,5.656250,4.039635,7854400
2000-10-12,5.656250,5.687500,5.164063,5.218750,3.727177,9574400
2000-10-13,5.156250,5.554688,5.125000,5.468750,3.905725,10659200
2000-10-16,5.507813,5.562500,5.328125,5.382813,3.844349,12997600
2000-10-17,5.359375,5.359375,5.117188,5.140625,3.671382,15515200
2000-10-18,5.078125,5.234375,4.890625,4.945313,3.531891,16378400
2000-10-19,4.742188,4.750000,3.929688,4.242188,3.029726,63527200
2000-10-20,4.203125,4.515625,4.171875,4.507813,3.219434,16751200
2000-10-23,4.687500,4.765625,4.609375,4.726563,3.375663,10768800
2000-10-24,4.873037,4.875000,4.406250,4.468750,3.191535,11301600
2000-10-25,4.390625,4.578125,4.312500,4.437500,3.169217,7680800
2000-10-26,4.460938,4.781250,4.437500,4.781250,3.414720,13136000
2000-10-27,4.968750,4.968750,4.687500,4.750000,3.392400,13775200
2000-10-30,4.906250,4.937500,4.539063,4.640625,3.314287,12044800
2000-10-31,4.765625,4.984375,4.664063,4.882813,3.487254,7076800
2000-11-01,4.804688,4.906250,4.601563,4.625000,3.303126,6719200
2000-11-02,4.742188,4.859375,4.648438,4.781250,3.414720,7462400
2000-11-03,4.753900,4.820313,4.664063,4.718750,3.370082,7231200
2000-11-06,4.812500,4.812500,4.585938,4.593750,3.280809,8320800
2000-11-07,4.656250,4.703125,4.531250,4.671875,3.336605,4182400
2000-11-08,4.640625,4.726563,4.593750,4.632813,3.308707,4020000
2000-11-09,4.617188,4.617188,4.296875,4.445313,3.174797,6276800
2000-11-10,4.359375,4.382813,4.203125,4.218750,3.012987,8404800
2000-11-13,4.226563,4.593750,4.015625,4.468750,3.191535,9745600
2000-11-14,4.617188,4.796875,4.617188,4.640625,3.314287,9200800
2000-11-15,4.625000,4.953125,4.500000,4.875000,3.481675,10067200
2000-11-16,4.843750,4.843750,4.617188,4.617188,3.297548,5484000
2000-11-17,4.648438,4.726563,4.500000,4.625000,3.303126,4228800
2000-11-20,4.632813,4.632813,4.437500,4.554688,3.252910,5664000
2000-11-21,4.550775,4.585938,4.296875,4.429688,3.163636,5040800
2000-11-22,4.382813,4.546875,4.312500,4.492188,3.208273,7124000
2000-11-24,4.562500,4.781250,4.554688,4.757813,3.397980,4280800
2000-11-27,4.789063,4.812500,4.554688,4.554688,3.252910,7568000
2000-11-28,4.554688,4.554688,4.375000,4.390625,3.135738,7285600
2000-11-29,4.398438,4.453125,4.281250,4.312500,3.079943,7804000
2000-11-30,4.187500,4.507813,3.976563,4.500000,3.213853,13679200
2000-12-01,4.437500,4.750000,4.312500,4.531250,3.236172,6778400
2000-12-04,4.500000,4.562500,4.375000,4.515625,3.225012,8012800
2000-12-05,4.593750,4.742188,4.531250,4.640625,3.314287,6912000
2000-12-06,4.648438,4.828125,4.625000,4.687500,3.347764,13668000
2000-12-07,4.625000,4.812500,4.570313,4.638662,3.312885,14788000
2000-12-08,4.851563,4.875000,4.664063,4.765625,3.403560,9625600
2000-12-11,4.828125,5.117188,4.820313,5.023438,3.587687,13041600
2000-12-12,5.015625,5.218750,4.890625,5.140625,3.671382,10867200
