Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,4.750000,4.812500,4.562500,4.687500,3.877813,1669000
2000-02-02,4.625000,4.750000,4.562500,4.750000,3.929516,1297000
2000-02-03,4.687500,5.187500,4.625000,5.062500,4.188039,3049900
2000-02-04,5.187500,5.250000,4.875000,5.062500,4.188039,2031000
2000-02-07,5.062500,5.500000,5.000000,5.250000,4.343151,2992100
2000-02-08,5.250000,5.562500,5.000000,5.125000,4.239742,3046000
2000-02-09,5.125000,5.187500,4.875000,5.000000,4.136334,1744700
2000-02-10,5.000000,5.000000,4.750000,4.812500,3.981221,2456600
2000-02-11,4.812500,4.937500,4.250000,4.937500,4.084629,2678600
2000-02-14,4.687500,4.750000,4.625000,4.687500,3.877813,1473100
2000-02-15,4.625000,4.687500,4.500000,4.500000,3.722700,1696700
2000-02-16,4.625000,4.625000,4.500000,4.500000,3.722700,1352600
2000-02-17,4.562500,4.687500,4.500000,4.500000,3.722700,1742400
2000-02-18,4.562500,4.562500,4.312500,4.312500,3.567586,1762300
2000-02-22,4.312500,4.500000,4.250000,4.250000,3.515882,1633300
2000-02-23,4.312500,4.312500,4.125000,4.312500,3.567586,1791000
2000-02-24,4.187500,4.375000,4.187500,4.250000,3.515882,1769100
2000-02-25,4.125000,4.250000,3.937500,3.937500,3.257363,2750700
2000-02-28,4.000000,4.125000,3.937500,3.937500,3.257363,1907300
2000-02-29,4.062500,4.750000,4.062500,4.500000,3.722700,3057800
2000-03-01,4.500000,4.687500,4.312500,4.687500,3.877813,2455600
2000-03-02,4.562500,4.750000,4.500000,4.750000,3.929516,2013300
2000-03-03,4.875000,4.875000,4.375000,4.500000,3.722700,1960600
2000-03-06,4.625000,5.125000,4.500000,4.812500,3.981221,4475000
2000-03-07,4.750000,4.875000,4.437500,4.562500,3.774404,2089500
2000-03-08,4.562500,4.687500,4.437500,4.562500,3.774404,1306300
2000-03-09,4.562500,6.000000,4.500000,6.000000,4.963599,8568400
2000-03-10,5.625000,5.750000,5.187500,5.187500,4.291447,4687500
2000-03-13,5.500000,7.250000,5.375000,7.250000,5.997683,18814600
2000-03-14,7.250000,7.750000,6.500000,6.500000,5.377232,10510000
2000-03-15,6.937500,6.937500,6.375000,6.500000,5.377232,4792900
2000-03-16,7.437500,7.687500,7.000000,7.625000,6.307907,8804600
2000-03-17,7.500000,7.937500,6.000000,7.500000,6.204500,3706000
2000-03-20,7.500000,7.562500,6.750000,6.937500,5.739161,2666400
2000-03-21,6.812500,7.125000,6.562500,7.125000,5.894275,2091000
2000-03-22,7.250000,8.500000,7.125000,8.000000,6.618134,6757900
2000-03-23,8.000000,8.812500,8.000000,8.750000,7.238583,6106000
2000-03-24,8.250000,8.812500,8.250000,8.625000,7.135173,3399800
2000-03-27,8.625000,8.687500,8.125000,8.250000,6.824949,1644400
2000-03-28,8.125000,8.187500,7.562500,7.687500,6.359612,2174100
2000-03-29,7.687500,7.750000,7.000000,7.750000,6.411315,2756300
2000-03-30,7.437500,7.625000,6.625000,6.875000,5.687458,3406700
2000-03-31,7.062500,7.500000,6.500000,7.437500,6.152797,4411600
2000-04-03,7.437500,7.500000,6.937500,7.125000,5.894275,1868800
2000-04-04,7.062500,7.250000,5.812500,6.437500,5.325530,3779900
2000-04-05,6.937500,7.875000,6.500000,7.687500,6.359612,5536500
2000-04-06,7.812500,7.812500,7.062500,7.750000,6.411315,3408200
2000-04-07,7.875000,7.875000,7.500000,7.562500,6.256205,1469100
2000-04-10,7.500000,7.625000,7.000000,7.062500,5.842571,1543400
2000-04-11,7.000000,7.000000,6.625000,6.687500,5.532346,1620900
2000-04-12,6.687500,6.812500,6.250000,6.250000,5.170416,1718600
2000-04-13,6.500000,6.937500,6.312500,6.750000,5.584049,2214200
2000-04-14,6.562500,6.625000,5.812500,6.000000,4.963599,2838000
2000-04-17,5.500000,6.000000,5.500000,5.625000,4.653375,2171100
